"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Bzw1","NK_cells",139,0.0324,0.245,0.132,0.895,0.963,0.964,"WB","Compartment","muscat_DESeq2"
"Clk1","NK_cells",125,0.644,0.211,3.05,0.0023,0.0278,0.0267,"WB","Compartment","muscat_DESeq2"
"Ppil3","NK_cells",20.5,0.289,0.454,0.637,0.524,0.789,0.776,"WB","Compartment","muscat_DESeq2"
"Orc2","NK_cells",20,-0.0712,0.456,-0.156,0.876,0.957,0.958,"WB","Compartment","muscat_DESeq2"
"Ndufb3","NK_cells",38.1,0.369,0.43,0.86,0.39,0.698,0.684,"WB","Compartment","muscat_DESeq2"
"Cflar","NK_cells",71.5,0.304,0.269,1.13,0.26,0.579,0.56,"WB","Compartment","muscat_DESeq2"
"Casp8","NK_cells",100,-0.146,0.239,-0.609,0.542,0.797,0.787,"WB","Compartment","muscat_DESeq2"
"Trak2","NK_cells",43.3,0.165,0.339,0.489,0.625,0.845,0.838,"WB","Compartment","muscat_DESeq2"
"Sumo1","NK_cells",86.1,0.389,0.248,1.57,0.116,0.383,0.366,"WB","Compartment","muscat_DESeq2"
"Nop58","NK_cells",59.5,-0.415,0.274,-1.51,0.13,0.409,0.389,"WB","Compartment","muscat_DESeq2"
"Fam117b","NK_cells",48.6,0.775,0.416,1.86,0.0624,0.268,0.252,"WB","Compartment","muscat_DESeq2"
"Wdr12","NK_cells",19.9,-0.626,0.425,-1.47,0.141,0.426,0.407,"WB","Compartment","muscat_DESeq2"
"Nbeal1","NK_cells",38.2,-0.24,0.321,-0.747,0.455,0.741,0.732,"WB","Compartment","muscat_DESeq2"
"Cyp20a1","NK_cells",14.4,0.422,0.654,0.645,0.519,0.786,0.773,"WB","Compartment","muscat_DESeq2"
"Abi2","NK_cells",16.2,0.248,0.496,0.501,0.617,0.841,0.833,"WB","Compartment","muscat_DESeq2"
"Raph1","NK_cells",32.6,-0.239,0.372,-0.643,0.52,0.787,0.774,"WB","Compartment","muscat_DESeq2"
"Cd28","NK_cells",37,-0.12,0.385,-0.312,0.755,0.905,0.905,"WB","Compartment","muscat_DESeq2"
"Ino80d","NK_cells",54.1,-0.248,0.274,-0.905,0.365,0.678,0.664,"WB","Compartment","muscat_DESeq2"
"Ndufs1","NK_cells",42.3,-0.35,0.308,-1.14,0.255,0.574,0.555,"WB","Compartment","muscat_DESeq2"
"Eef1b2","NK_cells",453,-0.482,0.163,-2.96,0.00312,0.0352,0.0336,"WB","Compartment","muscat_DESeq2"
"Klf7","NK_cells",39.3,0.472,0.343,1.38,0.168,0.467,0.448,"WB","Compartment","muscat_DESeq2"
